# r  g_CC  g_CN  g_CSi  g_NN  g_NSi  g_SiSi
0.01 0 0 0 0 0 0
0.03 0 0 0 0 0 0
0.05 0 0 0 0 0 0
0.07 0 0 0 0 0 0
0.09 0 0 0 0 0 0
0.11 0 0 0 0 0 0
0.13 0 0 0 0 0 0
0.15 0 0 0 0 0 0
0.17 0 0 0 0 0 0
0.19 0 0 0 0 0 0
0.21 0 0 0 0 0 0
0.23 0 0 0 0 0 0
0.25 0 0 0 0 0 0
0.27 0 0 0 0 0 0
0.29 0 0 0 0 0 0
0.31 0 0 0 0 0 0
0.33 0 0 0 0 0 0
0.35 0 0 0 0 0 0
0.37 0 0 0 0 0 0
0.39 0 0 0 0 0 0
0.41 0 0 0 0 0 0
0.43 0 0 0 0 0 0
0.45 0 0 0 0 0 0
0.47 0 0 0 0 0 0
0.49 0 0 0 0 0 0
0.51 0 0 0 0 0 0
0.53 0 0 0 0 0 0
0.55 0 0 0 0 0 0
0.57 0 0 0 0 0 0
0.59 0 0 0 0 0 0
0.61 0 0 0 0 0 0
0.63 0 0 0 0 0 0
0.65 0 0 0 0 0 0
0.67 0 0 0 0 0 0
0.69 0 0 0 0 0 0
0.71 0 0 0 0 0 0
0.73 0 0 0 0 0 0
0.75 0 0 0 0 0 0
0.77 0 0 0 0 0 0
0.79 0 0 0 0 0 0
0.81 0 0 0 0 0 0
0.83 0 0 0 0 0 0
0.85 0 0 0 0 0 0
0.87 0 0 0 0 0 0
0.89 0 0 0 0 0 0
0.91 0 0 0 0 0 0
0.93 0 0 0 0 0 0
0.95 0 0 0 0 0 0
0.97 0 0 0 0 0 0
0.99 0 0 0 0 0 0
1.01 0 0 0 0 0 0
1.03 0 0 0 0 0 0
1.05 0 0 0 0 0 0
1.07 0 0 0 0 0 0
1.09 0 0 0 0 0 0
1.11 0 0 0 0 0 0
1.13 0 0 0 0 0 0
1.15 0 0 0 0 0 0
1.17 0 0 0 0 0 0
1.19 0 0 0 0 0 0
1.21 0 0 0 0 0 0
1.23 0 0 0 0 0 0
1.25 0 0 0 0 0 0
1.27 0 0 0 0 0 0
1.29 0 0 0 0 0 0
1.31 0 0 0 0 0 0
1.33 0 0 0 0 0 0
1.35 0.0227725 0 0 0 0 0
1.37 0.316264 0 0 0 0 0
1.39 1.86657 0 0 0 0 0
1.41 6.4757 0 0 0 0 0
1.43 14.0434 0 0 0 0 0
1.45 19.2682 0 0 0 0 0
1.47 19.5089 0 0 0 0 0
1.49 15.982 0 0 0 0 0
